Tarih,Tıklamalar,Gösterimler,TO,Pozisyon
2025-10-10,0,4,0%,2.75
2025-10-09,1,7,14.29%,8.71
2025-10-08,1,5,20%,1.6
2025-10-07,0,4,0%,3.5
2025-10-06,1,3,33.33%,2
2025-10-05,0,1,0%,1
2025-10-04,0,4,0%,21
2025-10-03,0,8,0%,1.5
2025-10-02,0,5,0%,3.4
2025-10-01,0,7,0%,2
2025-09-30,0,1,0%,4
2025-09-29,0,6,0%,1.17
2025-09-28,0,2,0%,1
2025-09-27,0,3,0%,5.67
2025-09-26,0,4,0%,3.25
2025-09-25,0,7,0%,5.71
2025-09-24,0,6,0%,1.67
2025-09-23,0,6,0%,10.5
2025-09-22,0,8,0%,6.5
2025-09-21,0,3,0%,17.67
2025-09-20,0,1,0%,35
2025-09-19,0,3,0%,14.33
2025-09-18,0,5,0%,15.8
2025-09-17,0,6,0%,7.5
2025-09-16,0,9,0%,36.56
2025-09-15,0,3,0%,28.33
2025-09-14,0,6,0%,16.33
2025-09-13,0,3,0%,33.33
2025-09-12,0,3,0%,24.67
2025-09-11,0,4,0%,30.75
2025-09-10,0,1,0%,6
2025-09-09,0,3,0%,43
2025-09-08,0,3,0%,30.33
2025-09-07,0,1,0%,62
2025-09-06,0,2,0%,67
2025-09-05,0,0,0%,0
2025-09-04,0,0,0%,0
2025-09-03,0,1,0%,4
2025-09-02,0,0,0%,0
2025-09-01,0,1,0%,1
2025-08-31,0,3,0%,4
2025-08-30,0,0,0%,0
2025-08-29,0,1,0%,9
2025-08-28,0,3,0%,8.67
2025-08-27,0,0,0%,0
2025-08-26,0,4,0%,6.5
2025-08-25,0,0,0%,0
2025-08-24,0,0,0%,0
2025-08-23,0,0,0%,0
2025-08-22,0,11,0%,5.27
2025-08-21,0,17,0%,6.29
2025-08-20,1,10,10%,5.5
2025-08-19,0,1,0%,13